simulation_id,timestamp,node_id,cpu,memory,battery,rssi,packet_loss,latency,throughput,queue_size,traffic_load,link_quality,mobility_speed
35,17,6,22.237977,11.591105,100.000000,18.772170,0.812278,55.072686,0.000000,3,0.000000,0.187722,6.511675
35,17,7,0.000000,7.220853,100.000000,30.206813,0.697932,45.957285,0.000000,1,1018.000000,0.302068,8.286927
35,17,8,0.330842,1.592368,100.000000,15.666475,0.843335,57.540131,0.000000,0,0.000000,0.156665,9.902659
35,17,9,0.964043,4.132018,100.000000,14.727228,0.852728,58.288444,0.000000,0,0.000000,0.147272,1.194532
35,17,10,4.130570,6.677393,100.000000,12.694590,0.873054,59.910653,0.000000,0,1389.000000,0.126946,3.679274
35,18,1,9.770632,0.000000,100.000000,19.458482,0.805415,54.513919,0.000000,1,0.000000,0.194585,1.760948
35,18,2,19.871412,5.876911,100.000000,14.886275,0.851137,58.161500,0.000000,2,0.000000,0.148863,4.414506
35,18,3,29.424087,6.343511,100.000000,14.155712,0.858443,58.746568,0.000000,0,0.000000,0.141557,3.953289
35,18,4,5.751905,0.705989,100.000000,12.730583,0.872694,59.881922,0.000000,0,0.000000,0.127306,6.030497
35,18,5,10.243697,11.597273,100.000000,16.020823,0.839792,57.256535,0.000000,1,1483.000000,0.160208,9.434349
35,18,6,18.982100,9.547930,100.000000,17.870297,0.821297,55.788479,0.000000,2,968.000000,0.178703,6.511675
35,18,7,3.521288,9.230164,100.000000,27.955516,0.720445,47.746304,0.000000,1,0.000000,0.279555,8.286927
35,18,8,4.583827,1.723068,100.000000,16.618572,0.833814,56.780099,0.000000,1,1280.000000,0.166186,9.902659
35,18,9,0.428252,1.967171,100.000000,14.138790,0.858612,58.758063,0.000000,1,1037.000000,0.141388,1.194532
35,18,10,1.158397,7.352204,100.000000,12.730583,0.872694,59.881922,0.000000,0,671.000000,0.127306,3.679274
35,19,1,11.797829,0.000000,100.000000,19.858855,0.801411,54.194668,1.000000,0,1118.000000,0.198589,1.760948
35,19,2,16.142850,5.144372,100.000000,14.495755,0.855042,58.473241,3.000000,1,1482.000000,0.144958,4.414506
35,19,3,32.112715,9.048122,100.000000,14.362055,0.856379,58.582280,0.000000,0,0.000000,0.143621,3.953289
35,19,4,5.311130,0.000000,100.000000,11.116261,0.888837,61.170665,0.000000,0,521.000000,0.111163,6.030497
35,19,5,8.595762,14.128681,100.000000,16.727747,0.832723,56.692411,2.000000,2,0.000000,0.167277,9.434349
35,19,6,15.624105,9.460023,100.000000,18.846226,0.811538,55.013486,1.000000,2,0.000000,0.188462,6.511675
35,19,7,2.752687,11.476464,100.000000,30.182316,0.698177,45.976738,1.000000,0,1056.000000,0.301823,8.286927
35,19,8,3.416929,0.000000,100.000000,16.458880,0.835411,56.907967,0.000000,1,0.000000,0.164589,9.902659
35,19,9,0.000000,0.000000,100.000000,14.583069,0.854169,58.403374,2.000000,1,1480.000000,0.145831,1.194532
35,19,10,0.000000,8.524747,100.000000,11.116261,0.888837,61.170665,0.000000,0,0.000000,0.111163,3.679274
35,20,1,12.063362,1.168009,100.000000,20.005179,0.799948,54.077998,0.000000,0,0.000000,0.200052,1.760948
35,20,2,15.013658,4.355016,100.000000,13.847771,0.861522,58.990425,0.000000,1,0.000000,0.138478,4.414506
35,20,3,34.451826,6.893835,100.000000,14.822314,0.851777,58.215539,1.000000,4,3681.000000,0.148223,3.953289
35,20,4,8.133978,0.495380,100.000000,12.259601,0.877404,60.257892,0.000000,0,1319.000000,0.122596,6.030497
35,20,5,9.703418,14.508955,100.000000,16.083178,0.839168,57.206904,0.000000,1,0.000000,0.160832,9.434349
35,20,6,11.653746,9.738018,100.000000,17.624832,0.823752,55.984324,0.000000,0,0.000000,0.176248,6.511675
35,20,7,7.542754,9.344107,100.000000,27.843749,0.721563,47.835181,0.000000,0,0.000000,0.278437,8.286927
35,20,8,0.000000,0.000000,100.000000,16.531726,0.834683,56.850513,1.000000,0,521.000000,0.165317,9.902659
35,20,9,0.000000,0.000000,100.000000,13.492346,0.865077,59.273949,0.000000,0,0.000000,0.134923,1.194532
35,20,10,2.515961,8.255067,100.000000,12.259601,0.877404,60.257892,0.000000,0,0.000000,0.122596,3.679274
35,21,1,12.342543,4.134819,100.000000,21.574599,0.784254,52.826884,0.000000,0,870.000000,0.215746,1.760948
35,21,2,13.960319,7.047769,100.000000,13.445052,0.865549,59.311688,1.000000,1,1454.000000,0.134451,4.414506
35,21,3,35.265336,5.515271,100.000000,14.809625,0.851904,58.225973,0.000000,5,561.000000,0.148096,3.953289
35,21,4,4.087585,0.000000,100.000000,12.997602,0.870024,59.668778,0.000000,0,0.000000,0.129976,6.030497
35,21,5,12.335784,11.815087,100.000000,16.168119,0.838319,57.139514,0.000000,1,0.000000,0.161681,9.434349
35,21,6,10.280999,9.676142,100.000000,17.279303,0.827207,56.259724,0.000000,0,0.000000,0.172793,6.511675
35,21,7,5.158092,10.076136,100.000000,27.510775,0.724892,48.099991,0.000000,0,0.000000,0.275108,8.286927
35,21,8,2.859169,1.003782,100.000000,17.178098,0.828219,56.334719,1.000000,1,0.000000,0.171781,9.902659
35,21,9,0.000000,0.000000,100.000000,13.474904,0.865251,59.287827,0.000000,1,785.000000,0.134749,1.194532
35,21,10,0.000000,8.709306,100.000000,12.997602,0.870024,59.668778,0.000000,0,0.000000,0.129976,3.679274
35,22,1,11.975315,2.174624,100.000000,22.773258,0.772267,51.871665,0.000000,0,0.000000,0.227733,1.760948
35,22,2,10.336012,9.350027,100.000000,13.648132,0.863519,59.149564,0.000000,2,1397.000000,0.136481,4.414506
35,22,3,38.460995,4.438402,100.000000,15.068293,0.849317,58.018551,0.000000,3,673.000000,0.150683,3.953289
35,22,4,0.460573,0.000000,100.000000,12.379529,0.876205,60.162155,0.000000,0,0.000000,0.123795,6.030497
35,22,5,12.370454,9.807592,100.000000,16.668489,0.833315,56.740617,0.000000,0,0.000000,0.166685,9.434349
35,22,6,11.397354,9.848957,100.000000,18.284888,0.817151,55.457480,0.000000,0,1313.000000,0.182849,6.511675
35,22,7,7.406989,8.319513,100.000000,28.010307,0.719897,47.702736,0.000000,0,0.000000,0.280103,8.286927
35,22,8,6.508533,0.000000,100.000000,17.124144,0.828759,56.377113,0.000000,1,0.000000,0.171241,9.902659
35,22,9,2.540277,0.657832,100.000000,14.159077,0.858409,58.741741,0.000000,1,0.000000,0.141591,1.194532
35,22,10,0.469697,8.371736,100.000000,12.379529,0.876205,60.162155,0.000000,0,569.000000,0.123795,3.679274
35,23,1,14.956005,1.092786,100.000000,21.846823,0.781532,52.609920,0.000000,0,0.000000,0.218468,1.760948
35,23,2,13.196381,9.041422,100.000000,14.689698,0.853103,58.318285,0.000000,1,0.000000,0.146897,4.414506
